Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2015-08-06,13.595,4.014,7.977,0.101
2015-09-06,8.845,5.041,3.204,0.368
2015-10-06,15.842,6.672,9.304,0.394
2015-11-06,17.87,6.56,8.538,0.198
2015-12-06,15.775,6.585,8.101,0.379
2015-06-13,4.939,7.021,0.336,1.245
2015-06-14,4.771,6.878,0.109,2.341
2015-06-15,11.633,5.618,4.598,1.506
2015-06-16,11.412,8.756,4.181,3.067
2015-06-17,10.5,5.908,5.016,0.891
2015-06-18,5.285,3.436,0.147,0.257
2015-06-19,8.779,5.963,2.284,0.493
2015-06-20,8.151,8.066,0.556,0.985
2015-06-21,9.134,9.625,0.682,1.786
2015-06-22,6.194,4.239,0.567,0.192
2015-06-23,10.118,4.755,3.467,0.317
2015-06-24,6.061,4.446,1.804,0.587
2015-06-25,9.497,7.874,1.428,0.554
2015-06-26,7.97,3.936,2.719,0.121
2015-06-27,8.232,5.982,2.513,0.498
2015-06-28,12.565,7.154,4.687,0.547
2015-06-29,14.411,5.897,6.832,0.425
2015-06-30,16.186,5.417,9.629,0.269
2015-01-07,16.879,4.712,11.548,0.599
2015-02-07,17.005,4.316,10.737,0.103
2015-03-07,15.149,5.345,8.459,0.227
2015-04-07,14.227,5.467,7.795,0.538
2015-05-07,5.287,5.881,0.51,0.836
2015-06-07,13.274,3.812,6.978,0.166
2015-07-07,8.539,7.415,1.997,0.774
2015-08-07,8.416,3.827,2.457,0.177
2015-09-07,10.101,4.724,5.731,0.655
2015-10-07,13.058,6.447,5.49,0.697
2015-11-07,11.04,4.564,5.219,0.567
2015-12-07,3.189,7.349,0.171,2.214
2015-07-13,5.846,4.931,0.318,1.15
2015-07-14,8.515,4.553,2.897,0.698
2015-07-15,13.351,6.283,7.054,0.85
2015-07-16,11.026,9.068,1.224,1.191
2015-07-17,14.711,9.741,4.842,1.253
2015-07-18,14.473,6.798,6.159,0.863
2015-07-19,2.988,4.267,0.095,0.398
2015-07-20,13.938,5.594,7.055,1.347
2015-07-21,14.277,7.455,5.4,0.51
2015-07-22,14.67,4.824,8.647,0.237
2015-07-23,11.021,5.033,5.493,0.469
2015-07-24,12.853,7.801,5.027,0.574
2015-07-25,8.414,3.885,2.49,0.339
2015-07-26,10.967,5.03,5.814,0.423
2015-07-27,6.942,9.752,0.638,2.27
2015-07-28,6.29,6.354,0.439,1.689
2015-07-29,10.582,8.778,2.591,1.51
2015-07-30,9.873,7.709,2.317,1.635
2015-07-31,13.068,8.431,4.488,1.538
2015-01-08,15.223,5.884,7.438,0.419
2015-02-08,15.084,4.642,9.066,0.143
2015-03-08,16.372,7.042,8.123,0.606
2015-04-08,7.887,5.365,1.805,0.289
2015-05-08,14.908,5.761,7.834,0.602
2015-06-08,15.653,6.676,7.893,0.119
2015-07-08,5.502,6.476,0.308,1.116
2015-08-08,10.642,6.708,3.407,1.073
2015-09-08,15.672,3.602,9.691,0.488
2015-10-08,8.285,2.528,4.855,0.088
2015-11-08,10.809,2.617,6.955,0.102
2015-12-08,8.838,2.547,5.231,0.058
2015-08-13,15.269,2.622,11.225,0.079
2015-08-14,9.947,2.541,6.317,0.104
2015-08-15,7.623,2.661,4.211,0.292
2015-08-16,9.636,2.766,5.995,0.276
2015-08-17,1.776,2.465,0.077,0.113
2015-08-18,1.4,2.802,0.105,0.354
2015-08-19,0.0,3.21,0.0,3.202
2015-08-20,0.0,3.51,0.0,3.499
2015-08-21,0.0,3.521,0.0,3.505
2015-08-22,0.0,3.628,0.0,3.624
2015-08-23,15.298,3.123,8.756,1.022
2015-08-24,6.395,2.475,3.011,0.103
2015-08-25,9.18,2.616,5.456,0.169
2015-08-26,13.509,9.914,4.742,0.815
2015-08-27,2.591,9.206,0.06,6.068
2015-08-28,11.408,7.716,4.208,2.593
